timestamp,cpus,mem,stress_cpus,stress_io,stress_vm,stress_vm_bytes,latency
5153.054494,4,16G,4,3,2,256M,13599
5153.731044,4,16G,4,3,2,256M,14257
5154.297435,4,16G,4,3,2,256M,13957
5155.087335,4,16G,4,3,2,256M,13447
5155.617019,4,16G,4,3,2,256M,12671
5156.253141,4,16G,4,3,2,256M,13018
5156.910605,4,16G,4,3,2,256M,12955
5157.459674,4,16G,4,3,2,256M,136889
5158.125844,4,16G,4,3,2,256M,13190
5158.869173,4,16G,4,3,2,256M,82023
5159.725202,4,16G,4,3,2,256M,81415
5160.411880,4,16G,4,3,2,256M,14515
5160.975015,4,16G,4,3,2,256M,459024
5161.645545,4,16G,4,3,2,256M,13558
5162.208952,4,16G,4,3,2,256M,13919
5162.628037,4,16G,4,3,2,256M,22024
5163.176816,4,16G,4,3,2,256M,166102
5163.948720,4,16G,4,3,2,256M,12595
5164.454177,4,16G,4,3,2,256M,13162
5165.161031,4,16G,4,3,2,256M,13110
5165.814017,4,16G,4,3,2,256M,13490
5166.541449,4,16G,4,3,2,256M,13705
5167.310054,4,16G,4,3,2,256M,13408
5167.889596,4,16G,4,3,2,256M,19115
5168.413819,4,16G,4,3,2,256M,13847
5169.005876,4,16G,4,3,2,256M,12606
5169.681870,4,16G,4,3,2,256M,16313
5170.366516,4,16G,4,3,2,256M,13353
5171.055904,4,16G,4,3,2,256M,15417
5171.681723,4,16G,4,3,2,256M,13737
5172.602006,4,16G,4,3,2,256M,13102
5173.254870,4,16G,4,3,2,256M,14186
5173.872656,4,16G,4,3,2,256M,13383
5174.487275,4,16G,4,3,2,256M,14748
5175.069222,4,16G,4,3,2,256M,14337
5175.676764,4,16G,4,3,2,256M,13198
5176.405221,4,16G,4,3,2,256M,13487
5177.040879,4,16G,4,3,2,256M,13151
5177.658252,4,16G,4,3,2,256M,12938
5178.264586,4,16G,4,3,2,256M,13931
5178.892125,4,16G,4,3,2,256M,13223
5179.561407,4,16G,4,3,2,256M,95139
5180.255491,4,16G,4,3,2,256M,14031
5180.797501,4,16G,4,3,2,256M,13357
5181.361832,4,16G,4,3,2,256M,14383
5181.949517,4,16G,4,3,2,256M,13073
5182.580516,4,16G,4,3,2,256M,13285
5183.162549,4,16G,4,3,2,256M,12809
5183.802370,4,16G,4,3,2,256M,13465
5184.590187,4,16G,4,3,2,256M,14672
5185.385311,4,16G,4,3,2,256M,49989
5185.998780,4,16G,4,3,2,256M,14006
5186.784578,4,16G,4,3,2,256M,13464
5187.393195,4,16G,4,3,2,256M,13446
5187.896405,4,16G,4,3,2,256M,25077
5188.719400,4,16G,4,3,2,256M,13229
5189.521747,4,16G,4,3,2,256M,78521
5190.164103,4,16G,4,3,2,256M,127572
5190.783467,4,16G,4,3,2,256M,122410
5191.525940,4,16G,4,3,2,256M,13309
5192.092869,4,16G,4,3,2,256M,12810
5192.676498,4,16G,4,3,2,256M,13322
